-----
{
 "description": "This table give All India data on State Wise Area And Production of Flowers from 2007-08 to 2010-11.", 
 "file_name": "AREA_AND_PRODUCTION_OF_FLOWERS-STATEWISE.xls", 
 "title": "State Wise Area And Production of Flowers ", 
 "url": "http://data.gov.in/sites/default/files/AREA_AND_PRODUCTION_OF_FLOWERS-STATEWISE.xls"
}
-----
"State/Union Territory","2007-08 Area (in '000 Hectare)","2008-09 Area (in '000 Hectare)","2009-10 Area (in '000 Hectare)","2010-11 Area (in '000 Hectare)","2007-08 Production : Loose ('000 Tonne)","2007-08 Production : Cut (in lakh Nos)","2008-09 Production : Loose ('000 Tonne)","2008-09 Production : Cut (in lakh Nos)","2009-10 Production : Loose ('000 Tonne)","2009-10 Production : Cut (in lakh Nos)","2010-11 Production : Loose ('000 Tonne)","2010-11 Production : Cut (in lakh Nos)"
" Andhra Pradesh",23.5,19.5,21.4,21.8,106.8,3.0,125.0,3.0,130.3,6202.0,133.7,6202.0
" Arunachal Pradesh","NA","NA",1.22,1.2,"NA","NA","NA","NA","NA",2860.0,"NA",2860.0
" Assam","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Bihar",0.2,0.2,0.2,0.2,2.3,11.0,2.3,11.0,2.3,11.0,2.3,11.0
" Chhattisgarh",2.4,2.4,4.09,6.9,6.9,"NA",6.9,"NA",13.5,"NA",27.1,"NA"
" Goa","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Gujarat",9.7,9.7,12.53,12.5,49.5,5063.0,49.5,5063.0,49.5,5063.0,49.5,5063.0
" Haryana",6.1,5.5,6.2,6.2,61.8,1053.0,53.9,929.0,60.3,1084.0,60.3,1084.0
" Himachal Pradesh",0.6,0.6,0.68,0.7,3.4,566.0,3.4,566.0,0.6,605.0,0.6,605.0
" Jammu & Kashmir",0.3,0.1,0.13,0.1,1.3,218.0,"NA",20.0,0.2,66.0,0.2,66.3
" Jharkhand",0.1,1.6,1.6,1.6,0.2,73.0,22.0,1711.0,22.0,1711.0,22.0,1711.0
" Karnataka",25.1,26.0,27.01,27.0,180.0,5700.0,203.9,5867.0,203.9,5860.0,203.9,5860.0
" Kerala","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Madhya Pradesh ",2.6,3.0,6.59,7.7,1.5,"NA",1.8,"NA",5.0,"NA",6.0,"NA"
" Maharashtra",16.7,16.4,17.51,17.5,69.5,5728.0,89.4,5728.0,91.1,7914.0,91.1,7914.0
" Manipur ","NA","NA","NA",0.0,"NA","NA","NA","NA","NA","NA",0.0,"NA"
" Meghalaya ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Mizoram",0.05,0.215,0.04,0.1,"NA",76.0,"NA",168.0,"NA",142.0,0.0,162.0
" Nagaland ",0.02,0.019,0.02,0.0,"NA",17.0,"NA",17.0,"NA",17.0,0.0,17.0
" Orissa",2.4,5.7,7.11,7.4,7.0,"NA",23.4,"NA",25.3,5356.0,3.7,5911.0
" Punjab",1.0,1.7,1.7,1.7,77.9,"NA",82.0,"NA",82.0,"NA",82.0,"NA"
" Rajasthan",4.3,3.4,3.28,5.4,6.2,"NA",4.9,"NA",4.9,"NA",9.6,"NA"
" Sikkim",0.135,0.151,0.18,0.2,"NA",45.0,"NA",66.0,"NA",200.0,"NA",230.0
" Tamil Nadu",26.7,29.1,31.97,32.0,214.4,"NA",233.7,"NA",247.3,"NA",247.3,"NA"
" Tripura","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Uttarakhand",0.9,0.9,1.29,1.3,0.7,1456.0,0.6,2056.0,1.0,3414.0,2.3,3416.0
" Uttar Pradesh",10.3,13.5,10.38,10.4,17.5,2928.0,24.3,3467.0,17.6,2958.0,17.6,2958.0
" West Bengal ",27.4,21.1,21.94,23.1,48.4,19680.0,52.01,21232.0,55.2,22170.0,59.2,23919.0
" A. & N. Islands",0.03,0.035,0.03,0.0,4.7,"NA",0.34,"NA",0.3,"NA",4.7,"NA"
" Chandigarh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" D. & N. Haveli ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Daman and Diu","NA","NA","NA",0.0,"NA","NA","NA","NA","NA","NA",0.0,"NA"
" Delhi",5.5,5.5,5.5,5.5,5.7,1038.0,5.7,1038.0,5.7,1038.0,5.7,1038.0
" Lakshadweep","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Puducherry",0.3,0.286,0.29,0.3,2.7,"NA",2.37,"NA",2.4,"NA",2.4,"NA"
" All India ",166.335,166.506,182.89,190.8,868.4,43654.0,987.431,47942.0,1020.6,66671.0,1031.2,69027.3
