"                                           Programme/Scheme","Actual-Plan (2011-12)","Actual-Non-Plan (2011-12)","Budget Estimates-Plan (2012-13)","Budget Estimates-Non-Plan (2012-13)","Revised Estimate-Plan (2012-13)","Revised Estimate-Non-Plan (2012-13)",2006.0,2007.0
"e-Gvoernment  Programmes",984.92,0.0,1729.0,0.0,1204.0,0.0,214.5,6.6
"e-Learning Programmes",495.11,1.7,533.55,1.7,288.0,1.7,1086.0,4.3
"e-Security Programmes",43.09,0.0,51.2,0.0,39.06,0.0,52.0,1.7
"e-Industry(Electronic Hardware) Programmes",60.34,5.72,125.0,7.0,85.0,7.0,"",""
"e-Industry(IT-ITeS) Programmes",0.0,0.0,2.5,0.0,2.33,0.0,"",""
"e-Innovation/R&D",410.31,6.6,498.14,6.6,330.88,6.2,"",""
"e-Inclusion",5.45,0.0,16.94,0.0,7.06,0.0,"",""
" Other Programmes",31.88,29.47,43.67,35.7,43.67,33.05,28.5,23.4
"Total",2031.1,43.49,3000.0,51.0,2000.0,47.95,1381.0,36.0
"Deduct Recoveries",10.15,0.0,0.0,0.0,0.0,0.0,"",""
"GRAND TOTAL",2041.25,43.49,3000.0,51.0,2000.0,47.95,"",""
